"complains","seconds_of_use","frequency_of_use","customer_value","distinct_called_numbers","status","churn"
"no complaint",4563,75,326.59,39,"active","non-churn"
"no complaint",2758,67,190.125,37,"active","non-churn"
"no complaint",4140,91,345.24,32,"active","non-churn"
"no complaint",2725,48,811.825,22,"active","non-churn"
"no complaint",9480,130,1008.4,47,"active","non-churn"
"no complaint",14138,178,620.64,48,"active","non-churn"
"no complaint",4880,92,159.3,29,"active","non-churn"
"no complaint",6283,104,331.48,16,"active","non-churn"
"no complaint",2603,63,116.65,21,"active","non-churn"
"no complaint",15505,234,893.56,36,"active","non-churn"
"no complaint",3460,36,1324.9,12,"active","non-churn"
"no complaint",15850,191,1450.845,34,"active","non-churn"
"no complaint",6865,95,1070.4,30,"active","non-churn"
"no complaint",1240,23,110.835,15,"active","non-churn"
"no complaint",1075,23,143.92,12,"active","non-churn"
"no complaint",365,9,62.96,4,"active","churn"
"no complaint",7873,136,1904.36,47,"active","non-churn"
"no complaint",11830,163,357.325,51,"active","non-churn"
"no complaint",7083,84,862.515,41,"active","non-churn"
"complaint",1320,56,167.04,21,"active","churn"
"complaint",10800,102,183.03,46,"active","non-churn"
"no complaint",6183,107,403.6,28,"active","non-churn"
"no complaint",3205,31,177.44,18,"active","non-churn"
"complaint",3355,50,220.2,20,"active","churn"
"no complaint",2633,53,182.15,35,"active","churn"
"no complaint",498,11,68.36,6,"active","churn"
"no complaint",2033,34,81.675,10,"active","non-churn"
"no complaint",7150,106,147.84,26,"active","non-churn"
"complaint",993,16,77.725,8,"active","churn"
"no complaint",703,13,34.74,6,"active","non-churn"
"no complaint",16440,247,804.915,84,"active","non-churn"
"no complaint",7330,125,1430.2,37,"active","non-churn"
"no complaint",4083,91,222.96,32,"active","non-churn"
"no complaint",2030,53,177.075,24,"active","non-churn"
"no complaint",3145,62,985.815,27,"active","non-churn"
"no complaint",1680,45,889,15,"active","non-churn"
"no complaint",1933,48,92.715,72,"active","non-churn"
"no complaint",1065,34,131.96,11,"active","non-churn"
"no complaint",1190,19,112.725,7,"active","non-churn"
"no complaint",1590,41,212.895,17,"active","non-churn"
"no complaint",3590,70,226.4,27,"active","non-churn"
"no complaint",2060,35,243.8,18,"active","non-churn"
"no complaint",6758,150,747.36,46,"active","non-churn"
"no complaint",9298,180,269.67,44,"active","non-churn"
"no complaint",3218,54,302.88,23,"active","non-churn"
"no complaint",4755,49,1100.16,14,"active","non-churn"
"complaint",1853,28,123.24,11,"active","churn"
"no complaint",4615,74,215.56,17,"active","non-churn"
"no complaint",563,8,58.84,4,"non-active","non-churn"
"no complaint",2698,63,1554.44,24,"active","non-churn"
"no complaint",4443,69,286.66,35,"active","non-churn"
"no complaint",2638,61,152.955,33,"active","non-churn"
"no complaint",4020,85,300.2,28,"active","non-churn"
"no complaint",2605,42,1253.88,18,"active","non-churn"
"no complaint",9360,124,963.36,43,"active","non-churn"
"no complaint",14018,172,595.6,44,"active","non-churn"
"no complaint",4760,86,221.84,25,"active","non-churn"
"no complaint",6163,98,286.44,12,"active","non-churn"
"no complaint",2483,57,141.6,17,"non-active","non-churn"
"no complaint",15385,228,848.52,32,"active","non-churn"
"no complaint",3340,30,2074.8,8,"active","non-churn"
"no complaint",15730,185,1400.175,30,"active","non-churn"
"no complaint",6745,89,1025.36,26,"active","non-churn"
"no complaint",1120,17,82.665,11,"non-active","non-churn"
"no complaint",955,17,98.88,8,"non-active","non-churn"
"no complaint",305,6,45.495,2,"non-active","churn"
"no complaint",7753,130,1859.32,43,"active","non-churn"
"no complaint",11710,157,329.175,47,"active","non-churn"
"no complaint",6963,78,811.845,37,"active","non-churn"
"complaint",1200,50,122,17,"non-active","churn"
"no complaint",10680,96,172.14,42,"active","non-churn"
"no complaint",6063,101,403.38,24,"active","non-churn"
"no complaint",3085,25,152.4,14,"active","non-churn"
"no complaint",3235,44,175.16,16,"non-active","churn"
"complaint",2513,47,246.4,31,"non-active","churn"
"no complaint",305,6,40.44,2,"non-active","churn"
"no complaint",1913,28,66.025,6,"active","non-churn"
"no complaint",7030,100,130.95,22,"active","non-churn"
"no complaint",873,10,49.575,4,"non-active","churn"
"no complaint",305,6,15.165,2,"active","non-churn"
"no complaint",16320,241,776.745,80,"active","non-churn"
"no complaint",7210,119,1558.305,33,"active","non-churn"
"no complaint",3963,85,189.92,28,"active","non-churn"
"no complaint",1910,47,238.28,20,"non-active","non-churn"
"no complaint",3025,56,935.145,23,"active","non-churn"
"no complaint",1560,39,949.455,11,"active","non-churn"
"no complaint",1813,42,126.375,68,"active","non-churn"
"no complaint",945,28,86.92,7,"non-active","non-churn"
"no complaint",1070,13,84.575,3,"non-active","non-churn"
"no complaint",1470,35,162.225,13,"active","non-churn"
"no complaint",3470,64,181.36,23,"active","non-churn"
"no complaint",1940,29,223.605,14,"active","non-churn"
"no complaint",6638,144,696.69,42,"active","non-churn"
"no complaint",9178,174,252.78,40,"active","non-churn"
"no complaint",3098,48,257.84,19,"active","non-churn"
"no complaint",4635,43,1055.12,10,"active","non-churn"
"complaint",1733,22,98.2,7,"active","churn"
"no complaint",4755,79,281.36,23,"active","non-churn"
"no complaint",703,13,124.64,10,"non-active","non-churn"
"no complaint",2838,68,1620.24,30,"active","non-churn"
"no complaint",4583,74,355.135,41,"active","non-churn"
"no complaint",2778,66,213.48,39,"active","non-churn"
"no complaint",4160,90,366,34,"active","non-churn"
"no complaint",2745,47,824.8,24,"active","non-churn"
"no complaint",9500,129,1029.16,49,"active","non-churn"
"no complaint",14158,177,641.4,50,"active","non-churn"
"no complaint",4900,91,275.64,31,"active","non-churn"
"no complaint",6303,103,352.24,18,"active","non-churn"
"complaint",2623,62,207.4,23,"non-active","non-churn"
"no complaint",15525,233,914.32,38,"active","non-churn"
"no complaint",3480,35,1337.875,14,"active","non-churn"
"no complaint",15870,190,1474.2,36,"active","non-churn"
"no complaint",6885,94,1091.16,32,"active","non-churn"
"no complaint",1260,22,134.19,17,"non-active","non-churn"
"no complaint",1095,22,164.68,14,"non-active","non-churn"
"no complaint",385,8,94.185,6,"non-active","churn"
"no complaint",7893,135,1925.12,49,"active","non-churn"
"no complaint",11850,162,370.3,53,"active","non-churn"
"no complaint",7103,83,885.87,43,"active","non-churn"
"complaint",1340,55,187.8,23,"non-active","churn"
"no complaint",10820,101,190.815,48,"active","non-churn"
"no complaint",6203,106,424.36,30,"active","non-churn"
"no complaint",3225,30,198.2,20,"active","non-churn"
"complaint",3375,49,240.96,22,"non-active","churn"
"complaint",2653,52,195.125,37,"non-active","churn"
"no complaint",518,10,89.12,8,"non-active","churn"
"no complaint",2053,33,94.65,12,"active","non-churn"
"no complaint",7170,105,155.625,28,"active","non-churn"
"complaint",1013,15,90.7,10,"non-active","churn"
"no complaint",723,12,42.525,8,"active","non-churn"
"no complaint",16460,246,828.27,86,"active","non-churn"
"no complaint",7350,124,1450.96,39,"active","non-churn"
"no complaint",4103,90,243.72,34,"active","non-churn"
"complaint",2050,52,190.05,26,"non-active","non-churn"
"no complaint",3165,61,1009.17,29,"active","non-churn"
"no complaint",1700,44,909.76,17,"active","non-churn"
"no complaint",1953,47,100.5,74,"active","non-churn"
"no complaint",1085,33,152.72,13,"non-active","non-churn"
"no complaint",1210,18,125.7,9,"non-active","non-churn"
"no complaint",1610,40,236.25,19,"active","non-churn"
"no complaint",3610,69,247.16,29,"active","non-churn"
"no complaint",2080,34,264.56,20,"active","non-churn"
"no complaint",6778,149,770.715,48,"active","non-churn"
"no complaint",9318,179,277.455,46,"active","non-churn"
"no complaint",3238,53,323.64,25,"active","non-churn"
"no complaint",4775,48,1120.92,16,"active","non-churn"
"complaint",1873,27,144,13,"active","churn"
"no complaint",4595,75,214.8,15,"active","non-churn"
"no complaint",305,6,40.44,2,"non-active","non-churn"
"no complaint",2678,64,1533.68,22,"active","non-churn"
"no complaint",4423,70,233.685,33,"active","non-churn"
"no complaint",2618,62,152.1,31,"active","non-churn"
"no complaint",4000,86,279.44,26,"active","non-churn"
"no complaint",2585,43,1233.12,16,"active","non-churn"
"no complaint",9340,125,942.6,41,"active","non-churn"
"no complaint",13998,173,594.84,42,"active","non-churn"
"no complaint",4740,87,221.08,23,"active","non-churn"
"no complaint",6143,99,277.68,10,"active","non-churn"
"no complaint",2463,58,128.84,15,"non-active","non-churn"
"no complaint",15365,229,827.76,30,"active","non-churn"
"no complaint",3320,31,2054.04,6,"active","non-churn"
"no complaint",15710,186,1376.82,28,"active","non-churn"
"no complaint",6725,90,1004.6,24,"active","non-churn"
"no complaint",1100,18,81.81,9,"non-active","non-churn"
"no complaint",935,18,78.12,6,"non-active","non-churn"
"no complaint",305,6,45.495,2,"non-active","churn"
"no complaint",7733,131,1838.56,41,"active","non-churn"
"no complaint",11690,158,316.2,45,"active","non-churn"
"no complaint",6943,79,788.49,35,"active","non-churn"
"complaint",1180,51,101.24,15,"non-active","churn"
"no complaint",10660,97,171.855,40,"active","non-churn"
"no complaint",6043,102,380.025,22,"active","non-churn"
"no complaint",3065,26,151.64,12,"active","non-churn"
"complaint",3215,45,158.4,14,"non-active","churn"
"complaint",2493,48,225.64,29,"non-active","churn"
"no complaint",305,6,40.44,2,"non-active","churn"
"no complaint",1893,29,65.55,4,"active","non-churn"
"no complaint",7010,101,123.165,20,"active","non-churn"
"no complaint",305,6,25.275,2,"non-active","churn"
"no complaint",305,6,15.165,2,"active","non-churn"
"no complaint",16300,242,775.89,78,"active","non-churn"
"no complaint",7190,120,1364.4,31,"active","non-churn"
"no complaint",3943,86,189.16,26,"active","non-churn"
"no complaint",1890,48,217.52,18,"non-active","non-churn"
"no complaint",3005,57,911.79,21,"active","non-churn"
"no complaint",1540,40,823.2,9,"active","non-churn"
"no complaint",1793,43,113.4,66,"active","non-churn"
"no complaint",925,29,66.16,5,"non-active","non-churn"
"no complaint",305,6,52.775,2,"non-active","non-churn"
"no complaint",1450,36,138.87,11,"active","non-churn"
"no complaint",3450,65,168.6,21,"active","non-churn"
"no complaint",1920,30,200.25,12,"active","non-churn"
"no complaint",6618,145,673.335,40,"active","non-churn"
"no complaint",9158,175,244.995,38,"active","non-churn"
"no complaint",3078,49,237.08,17,"active","non-churn"
"no complaint",4615,44,1034.36,8,"active","non-churn"
"complaint",1713,23,97.44,5,"active","churn"
"no complaint",4935,87,308.88,25,"active","non-churn"
"no complaint",883,21,152.16,12,"non-active","non-churn"
"no complaint",3018,76,1647.76,32,"active","non-churn"
"no complaint",4763,82,392.975,43,"active","non-churn"
"no complaint",2958,74,244.44,41,"active","non-churn"
"no complaint",4340,98,393.52,36,"active","non-churn"
"no complaint",2925,55,842,26,"active","non-churn"
"no complaint",9680,137,1056.68,51,"active","non-churn"
"no complaint",14338,185,668.92,52,"active","non-churn"
"no complaint",5080,99,189.475,33,"active","non-churn"
"no complaint",6483,111,379.76,20,"active","non-churn"
"no complaint",2803,70,146.825,25,"non-active","non-churn"
"no complaint",15705,241,941.84,40,"active","non-churn"
"no complaint",3660,43,1355.075,16,"active","non-churn"
"no complaint",16050,198,1505.16,38,"active","non-churn"
"no complaint",7065,102,699.175,34,"active","non-churn"
"no complaint",1440,30,146.8,19,"non-active","non-churn"
"no complaint",1275,30,192.2,16,"non-active","non-churn"
"no complaint",565,16,111.24,8,"non-active","churn"
"no complaint",8073,143,1952.64,51,"active","non-churn"
"no complaint",12030,170,387.5,55,"active","non-churn"
"no complaint",7283,91,916.83,45,"active","non-churn"
"complaint",1520,63,215.32,25,"non-active","churn"
"no complaint",11000,109,201.135,50,"active","non-churn"
"no complaint",6383,114,451.88,32,"active","non-churn"
"no complaint",3405,38,141.075,22,"active","non-churn"
"complaint",3555,57,268.48,24,"non-active","churn"
"complaint",2833,60,212.325,39,"non-active","churn"
"no complaint",698,18,116.64,10,"non-active","churn"
"no complaint",2233,41,111.85,14,"active","non-churn"
"no complaint",7350,113,165.945,30,"active","non-churn"
"complaint",1193,23,107.9,12,"non-active","churn"
"no complaint",903,20,52.845,10,"active","non-churn"
"no complaint",16640,254,859.23,88,"active","non-churn"
"complaint",7530,132,1478.48,41,"active","non-churn"
"no complaint",4283,98,271.24,36,"active","non-churn"
"no complaint",2230,60,207.25,28,"non-active","non-churn"
"no complaint",3345,69,1040.13,31,"active","non-churn"
"no complaint",1880,52,937.28,19,"active","non-churn"
"no complaint",2133,55,110.82,76,"active","non-churn"
"no complaint",1265,41,180.24,15,"non-active","non-churn"
"no complaint",1390,26,142.9,11,"non-active","non-churn"
"no complaint",1790,48,267.21,21,"active","non-churn"
"no complaint",3790,77,171.675,31,"active","non-churn"
"no complaint",2260,42,292.08,22,"active","non-churn"
"no complaint",6958,157,801.675,50,"active","non-churn"
"no complaint",9498,187,287.775,48,"active","non-churn"
"no complaint",3418,61,219.475,27,"active","non-churn"
"no complaint",4955,56,1148.44,18,"active","non-churn"
"no complaint",2053,35,171.52,15,"active","churn"
"no complaint",4415,67,207.28,13,"active","non-churn"
"no complaint",305,6,45.495,2,"non-active","non-churn"
"no complaint",2498,56,1506.16,20,"active","non-churn"
"no complaint",4243,62,225.225,31,"active","non-churn"
"no complaint",2438,54,175.56,29,"active","non-churn"
"no complaint",3820,78,251.92,24,"active","non-churn"
"no complaint",2405,35,1205.6,14,"active","non-churn"
"no complaint",9160,117,915.08,39,"active","non-churn"
"no complaint",13818,165,587.32,40,"active","non-churn"
"no complaint",4560,79,213.56,21,"active","non-churn"
"no complaint",5963,91,270.16,8,"active","non-churn"
"no complaint",2283,50,121.32,13,"non-active","non-churn"
"no complaint",15185,221,800.24,28,"active","non-churn"
"no complaint",3140,23,2026.52,4,"active","non-churn"
"no complaint",15530,178,1345.86,26,"active","non-churn"
"no complaint",6545,82,977.08,22,"active","non-churn"
"no complaint",920,10,73.35,7,"non-active","non-churn"
"no complaint",755,10,58.6,4,"non-active","non-churn"
"no complaint",305,6,45.495,2,"non-active","churn"
"no complaint",7553,123,2037.42,39,"active","non-churn"
"no complaint",11510,150,309,43,"active","non-churn"
"no complaint",6763,71,757.53,33,"active","non-churn"
"no complaint",1000,43,82.935,13,"non-active","churn"
"no complaint",10480,89,169.035,38,"active","non-churn"
"no complaint",5863,94,349.065,20,"active","churn"
"no complaint",2885,18,144.12,10,"active","non-churn"
"no complaint",3035,37,150.88,12,"non-active","churn"
"complaint",2313,40,198.12,27,"non-active","churn"
"no complaint",305,6,40.44,2,"non-active","churn"
"no complaint",305,6,40.44,2,"active","non-churn"
"no complaint",6830,93,114.345,18,"active","non-churn"
"no complaint",305,6,25.275,2,"non-active","churn"
"no complaint",305,6,15.165,2,"active","churn"
"no complaint",16120,234,767.43,76,"active","non-churn"
"no complaint",7010,112,1503.99,29,"active","non-churn"
"no complaint",3763,78,204.345,24,"active","non-churn"
"no complaint",1710,40,190,16,"non-active","non-churn"
"no complaint",2825,49,880.83,19,"active","non-churn"
"no complaint",1360,32,895.14,7,"active","non-churn"
"no complaint",1613,35,96.2,64,"active","non-churn"
"no complaint",745,21,65.97,3,"non-active","non-churn"
"no complaint",305,6,40.275,2,"non-active","non-churn"
"no complaint",1270,28,107.91,9,"active","non-churn"
"no complaint",3270,57,161.08,19,"active","non-churn"
"no complaint",1740,22,169.29,10,"active","non-churn"
"no complaint",6438,137,642.375,38,"active","non-churn"
"no complaint",8978,167,391.125,36,"active","non-churn"
"no complaint",2898,41,209.56,15,"active","non-churn"
"no complaint",4435,36,1006.84,6,"active","non-churn"
"complaint",1533,15,89.92,3,"active","churn"
"no complaint",4855,85,289.6,24,"active","non-churn"
"no complaint",803,19,132.88,11,"non-active","non-churn"
"no complaint",2938,74,1628.48,31,"active","non-churn"
"no complaint",4683,80,366.465,42,"active","non-churn"
"no complaint",2878,72,222.75,40,"active","non-churn"
"no complaint",4260,96,374.24,35,"active","non-churn"
"no complaint",2845,53,1327.92,25,"active","non-churn"
"no complaint",9600,135,1037.4,50,"active","non-churn"
"no complaint",14258,183,649.64,51,"active","non-churn"
"no complaint",5000,97,283.88,32,"active","non-churn"
"no complaint",6403,109,360.48,19,"active","non-churn"
"complaint",2723,68,215.64,24,"non-active","non-churn"
"no complaint",15625,239,922.56,39,"active","non-churn"
"no complaint",3580,41,2148.84,15,"active","non-churn"
"no complaint",15970,196,1483.47,37,"active","non-churn"
"no complaint",6985,100,1099.4,33,"active","non-churn"
"no complaint",1360,28,143.46,18,"non-active","non-churn"
"no complaint",1195,28,172.92,15,"non-active","non-churn"
"no complaint",485,14,103.455,7,"non-active","churn"
"no complaint",7993,141,1933.36,50,"active","non-churn"
"no complaint",11950,168,375.45,54,"active","non-churn"
"no complaint",7203,89,895.14,44,"active","non-churn"
"no complaint",1440,61,196.04,24,"non-active","churn"
"no complaint",10920,107,193.905,49,"active","non-churn"
"no complaint",6303,112,486.675,31,"active","non-churn"
"no complaint",3325,36,206.44,21,"active","non-churn"
"complaint",3475,55,249.2,23,"non-active","churn"
"complaint",2753,58,200.275,38,"non-active","churn"
"complaint",618,16,97.36,9,"non-active","churn"
"no complaint",2153,39,99.8,13,"active","non-churn"
"no complaint",7270,111,158.715,29,"active","non-churn"
"no complaint",1113,21,95.85,11,"non-active","churn"
"no complaint",823,18,45.615,9,"active","non-churn"
"complaint",16560,252,837.54,87,"active","non-churn"
"no complaint",7450,130,1459.2,40,"active","non-churn"
"no complaint",4203,96,251.96,35,"active","non-churn"
"no complaint",2150,58,312.32,27,"non-active","non-churn"
"no complaint",3265,67,1018.44,30,"active","non-churn"
"no complaint",1800,50,918,18,"active","non-churn"
"no complaint",2053,53,103.59,75,"active","non-churn"
"no complaint",1185,39,160.96,14,"non-active","non-churn"
"no complaint",1310,24,130.85,10,"non-active","non-churn"
"no complaint",1710,46,245.52,20,"active","non-churn"
"no complaint",3710,75,255.4,30,"active","non-churn"
"no complaint",2180,40,272.8,21,"active","non-churn"
"no complaint",6878,155,779.985,49,"active","non-churn"
"no complaint",9418,185,280.545,47,"active","non-churn"
"no complaint",3338,59,331.88,26,"active","non-churn"
"no complaint",4875,54,1129.16,17,"active","non-churn"
"no complaint",1973,33,152.24,14,"active","churn"
"no complaint",4495,69,210.56,14,"active","non-churn"
"no complaint",305,6,40.44,2,"non-active","non-churn"
"no complaint",2578,58,1525.44,21,"active","non-churn"
"no complaint",4323,64,279.785,32,"active","non-churn"
"no complaint",2518,56,147.33,30,"active","non-churn"
"no complaint",3900,80,271.2,25,"active","non-churn"
"no complaint",2485,37,1224.88,15,"active","non-churn"
"no complaint",9240,119,934.36,40,"active","non-churn"
"no complaint",13898,167,590.6,41,"active","non-churn"
"no complaint",4640,81,216.84,22,"active","non-churn"
"no complaint",6043,93,273.44,9,"active","non-churn"
"no complaint",2363,52,124.6,14,"non-active","non-churn"
"no complaint",15265,223,819.52,29,"active","non-churn"
"no complaint",3220,25,2045.8,5,"active","non-churn"
"no complaint",15610,180,1367.55,27,"active","non-churn"
"no complaint",6625,84,996.36,23,"active","non-churn"
"no complaint",1000,12,77.04,8,"non-active","non-churn"
"no complaint",835,12,69.88,5,"non-active","non-churn"
"no complaint",305,6,45.495,2,"non-active","churn"
"no complaint",7633,125,1830.32,40,"active","non-churn"
"no complaint",11590,152,311.05,44,"active","non-churn"
"no complaint",6843,73,779.22,34,"active","non-churn"
"complaint",1080,45,93,14,"non-active","churn"
"no complaint",10560,91,170.265,39,"active","non-churn"
"no complaint",5943,96,370.755,21,"active","churn"
"no complaint",2965,20,147.4,11,"active","non-churn"
"complaint",3115,39,154.16,13,"non-active","churn"
"no complaint",2393,42,135.875,28,"non-active","churn"
"complaint",305,6,40.44,2,"non-active","churn"
"no complaint",1793,23,62.9,3,"active","non-churn"
"no complaint",6910,95,120.075,19,"active","non-churn"
"no complaint",305,6,25.275,2,"non-active","churn"
"no complaint",305,6,15.165,2,"active","non-churn"
"no complaint",16200,236,771.12,77,"active","non-churn"
"no complaint",7090,114,1356.16,30,"active","non-churn"
"no complaint",3843,80,184.92,25,"active","non-churn"
"no complaint",1790,42,209.28,17,"non-active","non-churn"
"no complaint",2905,51,902.52,20,"active","non-churn"
"no complaint",1440,34,814.96,8,"active","non-churn"
"no complaint",1693,37,64.95,65,"active","non-churn"
"no complaint",825,23,61.92,4,"non-active","non-churn"
"no complaint",305,6,50.275,2,"non-active","non-churn"
"no complaint",1350,30,129.6,10,"active","non-churn"
"no complaint",3350,59,164.36,20,"active","non-churn"
"no complaint",1820,24,169.76,11,"active","non-churn"
"no complaint",6518,139,664.065,39,"active","non-churn"
"no complaint",9058,169,241.905,37,"active","non-churn"
"no complaint",2978,43,228.84,16,"active","non-churn"
"no complaint",4515,38,1026.12,7,"active","non-churn"
"complaint",1613,17,93.2,4,"active","churn"
"no complaint",5275,87,346.48,34,"active","non-churn"
"no complaint",1223,21,189.76,21,"non-active","non-churn"
"no complaint",3358,76,1685.36,41,"active","non-churn"
"no complaint",5103,82,444.675,52,"active","non-churn"
"no complaint",3298,74,286.74,50,"active","non-churn"
"no complaint",4680,98,431.12,45,"active","non-churn"
"no complaint",3265,55,865.5,35,"active","non-churn"
"complaint",10020,137,1094.28,60,"active","non-churn"
"no complaint",14678,185,706.52,61,"active","non-churn"
"no complaint",5420,99,340.76,42,"active","non-churn"
"no complaint",6823,111,417.36,29,"active","non-churn"
"no complaint",3143,70,272.52,34,"non-active","non-churn"
"complaint",16045,241,979.44,49,"active","non-churn"
"no complaint",4000,43,1378.575,25,"active","non-churn"
"no complaint",16390,198,1547.46,47,"active","non-churn"
"no complaint",7405,102,1156.28,43,"active","non-churn"
"no complaint",1780,30,207.45,28,"non-active","non-churn"
"no complaint",1615,30,229.8,25,"non-active","non-churn"
"complaint",905,16,167.445,17,"non-active","churn"
"no complaint",8413,143,1990.24,60,"active","non-churn"
"no complaint",12370,170,411,64,"active","non-churn"
"no complaint",7623,91,959.13,54,"active","non-churn"
"complaint",1860,63,252.92,34,"non-active","churn"
"no complaint",11340,109,215.235,59,"active","non-churn"
"no complaint",6723,114,489.48,41,"active","non-churn"
"no complaint",3745,38,263.32,31,"active","non-churn"
"complaint",3895,57,306.08,33,"non-active","churn"
"no complaint",3173,60,235.825,48,"non-active","churn"
"no complaint",1038,18,154.24,19,"non-active","churn"
"no complaint",2573,41,135.35,23,"active","non-churn"
"no complaint",7690,113,180.045,39,"active","non-churn"
"no complaint",1533,23,131.4,21,"non-active","churn"
"no complaint",1243,20,66.945,19,"active","non-churn"
"no complaint",16980,254,901.53,97,"active","non-churn"
"no complaint",7870,132,1516.08,50,"active","non-churn"
"no complaint",4623,98,308.84,45,"active","non-churn"
"complaint",2570,60,230.75,37,"non-active","churn"
"no complaint",3685,69,1082.43,40,"active","non-churn"
"no complaint",2220,52,974.88,28,"active","non-churn"
"no complaint",2473,55,124.92,85,"active","non-churn"
"no complaint",1605,41,217.84,24,"non-active","non-churn"
"no complaint",1730,26,166.4,20,"non-active","non-churn"
"no complaint",2130,48,309.51,30,"active","non-churn"
"no complaint",4130,77,312.28,40,"active","non-churn"
"no complaint",2600,42,329.68,31,"active","non-churn"
"no complaint",7298,157,843.975,59,"active","non-churn"
"no complaint",9838,187,301.875,57,"active","non-churn"
"no complaint",3758,61,388.76,36,"active","non-churn"
"no complaint",5295,56,1186.04,27,"active","non-churn"
"complaint",2393,35,209.12,24,"active","churn"
"no complaint",4075,67,193.68,4,"active","non-churn"
"no complaint",305,6,40.44,2,"non-active","non-churn"
"no complaint",2158,56,1468.56,11,"active","non-churn"
"no complaint",3903,62,256.575,22,"active","non-churn"
"no complaint",2098,54,128.34,20,"active","non-churn"
"no complaint",3480,78,214.32,15,"active","non-churn"
"no complaint",2065,35,1168,5,"active","non-churn"
"no complaint",8820,117,877.48,30,"active","non-churn"
"no complaint",13478,165,573.72,31,"active","non-churn"
"no complaint",4220,79,199.96,12,"active","non-churn"
"no complaint",5623,91,256.56,17,"active","non-churn"
"no complaint",1943,50,107.72,4,"non-active","non-churn"
"no complaint",14845,221,762.64,19,"active","non-churn"
"no complaint",2800,23,1988.92,9,"active","non-churn"
"no complaint",15190,178,1303.56,17,"active","non-churn"
"no complaint",6205,82,939.48,13,"active","non-churn"
"no complaint",580,10,58.05,2,"non-active","non-churn"
"no complaint",415,10,45,2,"non-active","non-churn"
"no complaint",305,6,45.495,2,"non-active","churn"
"no complaint",7213,123,1773.44,30,"active","non-churn"
"no complaint",11170,150,300.5,34,"active","non-churn"
"no complaint",6423,71,715.23,24,"active","non-churn"
"no complaint",660,43,56.12,4,"non-active","churn"
"no complaint",10140,89,163.935,29,"active","non-churn"
"no complaint",5523,94,306.765,11,"active","churn"
"no complaint",2545,18,130.52,6,"active","non-churn"
"no complaint",2695,37,137.28,3,"non-active","churn"
"no complaint",1973,40,160.52,18,"non-active","churn"
"complaint",305,6,40.44,2,"non-active","churn"
"no complaint",1373,21,52.35,2,"active","non-churn"
"no complaint",6490,93,109.245,9,"active","non-churn"
"no complaint",305,6,25.275,2,"non-active","churn"
"no complaint",305,6,15.165,2,"active","non-churn"
"no complaint",15780,234,752.13,67,"active","non-churn"
"no complaint",6670,112,1299.28,20,"active","non-churn"
"no complaint",3423,78,168.04,15,"active","non-churn"
"no complaint",1370,40,152.4,7,"non-active","non-churn"
"no complaint",2485,49,838.53,10,"active","non-churn"
"no complaint",1020,32,758.08,2,"active","non-churn"
"no complaint",1273,35,72.7,55,"active","non-churn"
"no complaint",405,21,45.04,2,"non-active","non-churn"
"no complaint",305,6,25.275,2,"non-active","non-churn"
"no complaint",930,28,74.61,2,"active","non-churn"
"no complaint",2930,57,147.48,10,"active","non-churn"
"no complaint",1400,22,126.99,2,"active","non-churn"
"no complaint",6098,137,600.075,29,"active","non-churn"
"no complaint",8638,167,220.575,27,"active","non-churn"
"no complaint",2558,41,171.96,6,"active","non-churn"
"no complaint",4095,36,969.24,25,"active","non-churn"
"complaint",1193,15,76.32,2,"active","churn"
"no complaint",4790,83,370.92,23,"active","non-churn"
"no complaint",738,17,214.2,10,"non-active","non-churn"
"no complaint",2873,72,1709.8,30,"active","non-churn"
"no complaint",4618,78,478.28,41,"active","non-churn"
"no complaint",2813,70,314.235,39,"active","non-churn"
"no complaint",4195,94,455.56,34,"active","non-churn"
"no complaint",2780,51,880.775,24,"active","non-churn"
"no complaint",9535,133,1118.72,49,"active","non-churn"
"no complaint",14193,181,730.96,50,"active","non-churn"
"no complaint",4935,95,228.25,31,"active","non-churn"
"no complaint",6338,107,441.8,18,"active","non-churn"
"complaint",2658,66,185.6,23,"non-active","non-churn"
"no complaint",15560,237,1003.88,38,"active","non-churn"
"no complaint",3515,39,1393.85,14,"active","non-churn"
"no complaint",15905,194,1399.96,36,"active","non-churn"
"no complaint",6920,98,737.95,32,"active","non-churn"
"no complaint",1295,26,208.84,17,"non-active","non-churn"
"no complaint",1130,26,254.24,14,"non-active","non-churn"
"no complaint",420,12,173.28,6,"non-active","churn"
"no complaint",7928,139,2014.68,49,"active","non-churn"
"no complaint",11885,166,426.275,53,"active","non-churn"
"no complaint",7138,87,877,43,"active","non-churn"
"complaint",1375,59,277.36,23,"non-active","churn"
"no complaint",10855,105,224.4,48,"active","non-churn"
"no complaint",6238,110,513.92,30,"active","non-churn"
"no complaint",3260,34,179.85,20,"active","non-churn"
"no complaint",3410,53,330.52,22,"non-active","churn"
"complaint",2688,56,251.1,37,"non-active","churn"
"no complaint",553,14,178.68,8,"non-active","churn"
"no complaint",2088,37,150.625,12,"active","non-churn"
"no complaint",7205,109,189.21,28,"active","non-churn"
"no complaint",1048,19,146.675,10,"non-active","churn"
"no complaint",758,16,76.11,8,"active","non-churn"
"no complaint",16495,250,929.025,86,"active","non-churn"
"no complaint",7385,128,1540.52,39,"active","non-churn"
"no complaint",4138,94,333.28,34,"active","non-churn"
"no complaint",2085,56,246.025,26,"non-active","non-churn"
"no complaint",3200,65,986.6,29,"active","non-churn"
